algorithm_description,avg_time_per_node_ns,nodes_expanded,avg_time_per_node_ms,count_enqueue,avg_time_enqueue_ns,count_dequeue,avg_time_dequeue_ns,total_time_ms,total_overhead_ns,total_overhead_ms
"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",22211.737471707296,45018.92,0.022211737471707297,2069540.85,21.30440041912367,45019.65,36.76647988362506,950.866411,46335039.19,46.335039189999996
"A* with AggregatedTwoLevelBucketQueue (a=10, b=1)",19614.508405399745,55100.7,0.019614508405399748,2532255.15,20.253216837133692,55101.6,25.255717693672974,1101.320034,53212465.78,53.21246578
"A* with AggregatedTwoLevelBucketQueue (a=11, b=1)",12827.591665525997,48223.47,0.012827591665525996,2216604.98,18.592562462031882,48224.44,20.82583260581069,635.4100002,42994288.06,42.99428806
"A* with AggregatedTwoLevelBucketQueue (a=12, b=1)",12725.955700717483,53706.09,0.012725955700717481,2468274.03,18.854130094636393,53707.29,20.901372909069252,708.7850784999999,47735900.15,47.73590015
"A* with AggregatedTwoLevelBucketQueue (a=13, b=1)",12728.350469263198,59442.77,0.012728350469263199,2731711.64,18.52561760221338,59444.18,20.838975804892367,783.198311,52826108.22,52.826108219999995
"A* with AggregatedTwoLevelBucketQueue (a=14, b=1)",12833.36276845934,64839.29,0.012833362768459337,2979311.55,18.64515131161862,64840.82,20.565929424054886,912.3403785,58100315.52,58.100315519999995
"A* with AggregatedTwoLevelBucketQueue (a=15, b=1)",12837.4189186846,64807.75,0.0128374189186846,2977816.12,18.552537417921194,64809.04,20.419384846400042,885.6645503,57606109.69,57.606109690000004
"A* with AggregatedTwoLevelBucketQueue (a=16, b=1)",12976.882894699444,61797.87,0.012976882894699442,2839635.15,18.66713987338428,61799.21,20.50762537634397,854.0776397,55098100.91,55.09810091
"A* with AggregatedTwoLevelBucketQueue (a=17, b=1)",12912.440488423388,65172.2,0.01291244048842339,2994465.56,18.581975327915462,65173.55,19.725246511365384,936.1251411000001,58467496.62,58.46749662
"A* with AggregatedTwoLevelBucketQueue (a=18, b=1)",12943.729950200266,63437.23,0.012943729950200267,2914908.15,18.635681543044335,63438.95,19.780465679208092,854.9757958,56467493.07,56.46749307
"A* with AggregatedTwoLevelBucketQueue (a=19, b=1)",13201.363726810676,69678.76,0.013201363726810675,3201451.47,18.62046732721653,69681.01,19.521915478409845,950.6955671000001,62145830.51,62.145830509999996
"A* with AggregatedTwoLevelBucketQueue (a=2, b=1)",19335.451892011595,45328.18,0.019335451892011593,2083725.07,20.260447131968064,45328.9,31.39836629927015,895.831952,44038439.85,44.038439849999996
"A* with AggregatedTwoLevelBucketQueue (a=20, b=1)",13184.963641164428,67334.77,0.013184963641164428,3094113.01,18.790140793613894,67336.83,19.419514499045516,906.8795415000001,60301768.74,60.30176874
"A* with AggregatedTwoLevelBucketQueue (a=21, b=1)",13105.972150805479,73466.52,0.01310597215080548,3375663.79,18.74362420076789,73468.83,19.48286053950159,995.0344517999999,66188745.93,66.18874593
"A* with AggregatedTwoLevelBucketQueue (a=22, b=1)",13086.887566491003,73907.52,0.013086887566491002,3395921.17,18.831862250931703,73910.25,19.574650596797845,1002.690529,66441379.07,66.44137907
"A* with AggregatedTwoLevelBucketQueue (a=23, b=1)",13039.434279753077,82804.64,0.013039434279753077,3804364.45,18.88238099677441,82807.79,19.691045296567996,1118.7796066,74522596.96,74.52259696
"A* with AggregatedTwoLevelBucketQueue (a=24, b=1)",13020.330233966397,89622.48,0.013020330233966395,4117319.69,18.989044905885915,89625.88,19.596370603682768,1215.7328416999999,80882580.64,80.88258064
"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",13021.444252492454,98122.74,0.013021444252492454,4507615.32,18.840705386360884,98126.43,19.83915499644701,1338.5226173,88883206.53,88.88320653000001
"A* with AggregatedTwoLevelBucketQueue (a=3, b=1)",19193.104317433153,47504.15,0.019193104317433155,2183633.23,20.080223401366393,47505.02,30.128687722066793,942.07452,45936610.41,45.93661041
"A* with AggregatedTwoLevelBucketQueue (a=4, b=1)",19162.21502141705,45970.62,0.019162215021417052,2113228.99,20.08488688881327,45971.39,29.25102503134589,906.9278199999999,44359682.63,44.359682629999995
"A* with AggregatedTwoLevelBucketQueue (a=5, b=1)",19289.430480087034,48413.2,0.019289430480087032,2225368.33,19.9906988543359,48414.0,28.136400210191287,953.873864,46524683.43,46.52468343
"A* with AggregatedTwoLevelBucketQueue (a=6, b=1)",32793.763098697564,52981.8,0.03279376309869756,2435051.58,19.563019605251878,52982.83,29.29823185293123,1264.2694099999999,49796203.19,49.79620319
"A* with AggregatedTwoLevelBucketQueue (a=7, b=1)",13072.177601795645,50015.52,0.013072177601795645,2298916.09,18.920907184713737,50016.43,22.51033328759856,665.8038222,45492980.78,45.492980779999996
"A* with AggregatedTwoLevelBucketQueue (a=8, b=1)",12937.757370639809,49873.61,0.012937757370639808,2292403.92,18.635559429717567,49874.65,25.087565755493486,660.2712468,44889811.82,44.88981182
"A* with AggregatedTwoLevelBucketQueue (a=9, b=1)",12970.875285719854,58706.21,0.012970875285719854,2697849.21,18.58346593827851,58707.45,21.418878359332457,794.0487727,52848982.38,52.848982379999995
A* with IndexedHeap (D=2),42601.734138140426,47267.79,0.042601734138140425,2171863.45,40.425928116656294,47267.79,175.2380802300187,1673.9154199999998,103943630.3,103.94363030000001
