algorithm_description,avg_time_per_node_ns,nodes_expanded,count_enqueue,avg_time_enqueue_ns,count_dequeue,avg_time_dequeue_ns,total_overhead_ms
ANA* with BucketHeap (D=2),468.7897037406815,9880401.26,11728269.46,20.480536307502184,11728269.46,24.691040301505012,536.1025923000001
ANA* with IndexedHeap (D=2),687.1163999661762,9810306.29,11262721.7,55.69549401535912,11262721.7,95.69436686517925,2164.474789
"ANA* with RealBucketHeap (a=1, b=1, D=2)",471.6244629186261,9889179.31,11744395.32,23.23972175878597,11744395.32,25.259113185486413,576.074209
"ANA* with RealBucketHeap (a=10, b=1, D=2)",454.21236877255296,10945488.16,12683805.73,20.596294153397235,12683805.73,20.473520279303827,531.104272
"ANA* with RealBucketHeap (a=15, b=1, D=2)",461.9940667526041,11591825.4,13383759.67,20.21726910745786,13383759.67,20.257543815157394,559.6392509000001
"ANA* with RealBucketHeap (a=2, b=1, D=2)",470.4907057291164,9839006.85,11642870.51,22.50787835298503,11642870.51,23.550200995406225,543.0268822
"ANA* with RealBucketHeap (a=20, b=1, D=2)",459.6112514372034,11329109.67,12815558.52,20.005486620744385,12815558.52,20.01323379826408,514.2195413
"ANA* with RealBucketHeap (a=25, b=1, D=2)",464.15022532844495,16106815.56,18312402.96,20.161524421034045,18312402.96,20.3850081104718,771.1222439999999
"ANA* with RealBucketHeap (a=3, b=1, D=2)",465.6121701084248,10072716.99,11690209.57,22.289688912963587,11690209.57,22.539708803248676,532.1477593000001
"ANA* with RealBucketHeap (a=4, b=1, D=2)",463.0533749169823,9963894.38,11645780.85,21.772164710419723,11645780.85,21.862990753447146,514.4232466
"ANA* with RealBucketHeap (a=5, b=1, D=2)",459.79276229807766,9922764.25,11529042.26,21.487471319534876,11529042.26,21.430032141034868,500.87709900000004
